text,labels,Clean_Text
I was eating at an Ethiopian cafe the other day.,['joy'],eating Ethiopian cafe day.
After having a couple different catheters in my chest for the last two years.,"['fear', 'sadness']",couple different catheters chest years.
That was poop on her Croc.,['surprise'],poop Croc.
"She said she agree with me but didn't know how to leave... To that, I shrugged my shoulders, shit I know how, pack your shit and leave... I mean, you know?",['anger'],"said agree know leave... that, shrugged shoulders, shit know how, pack shit leave... mean, know?"
"So when I caught this song-Kahin tho Hogi-last evening driving back home, it brought a smile to my face.",['joy'],"caught song-Kahin tho Hogi-last evening driving home, brought smile face."
I immediately pulled over and tried to grab him but he ran past me.,"['anger', 'fear', 'surprise']",immediately pulled tried grab ran past me.
This idea has been crashing around in my head so I had no choice but to finally write something.,['fear'],idea crashing head choice finally write something.
I believe he was just going to scare me and not anything worse.,"['fear', 'surprise']",believe going scare worse.
Well Yesterday went to the Hospital to have my brain poked at ( Im guessing some kind of treasure hunt thing looking for it ).,"['fear', 'surprise']",Yesterday went Hospital brain poked ( Im guessing kind treasure hunt thing looking ).
"sleepless nights are so evident on my face, even a cake of foundation and concealer can not hide = ( massive eyebags and bad tired skin.",['sadness'],"sleepless nights evident face, cake foundation concealer hide = ( massive eyebags bad tired skin."
"only one hour of sleep, then 9 hours on my feet.",['fear'],"hour sleep, 9 hours feet."
My sister made us leave quickly and go to our neighbors house.,['fear'],sister leave quickly neighbors house.
I stuck out my legs to try and land the fall but one let got stuck on the side of the bike and the other got flipped underneath me and I landed on my right knee then skidded for about 8 feet.,"['anger', 'fear', 'sadness', 'surprise']",stuck legs try land fall let got stuck bike got flipped underneath landed right knee skidded 8 feet.
Did I get home?,"['fear', 'surprise']",home?
"The cat sits there, paralyzed and in agony.","['fear', 'sadness']","cat sits there, paralyzed agony."
But then it got so hot I opened it and welcomed the cold spray on my face.,"['joy', 'surprise']",got hot opened welcomed cold spray face.
I was going up to see my Avs play the Red Wings.,['joy'],going Avs play Red Wings.
"I cocked my head like the RCA Victrola Dog, and sure enough -- key in door sounds.",['joy'],"cocked head like RCA Victrola Dog, sure -- key door sounds."
BUT OH GOD MY NAILS ARE BLACK CALL A PRIEST.,"['fear', 'surprise']",OH GOD NAILS BLACK PRIEST.
I'm lost in my own little world.,"['fear', 'sadness']",I'm lost little world.
"my head aches, my stomach isn't too happy, my whole body hurts.","['fear', 'sadness']","head aches, stomach happy, body hurts."
"He fully woke up, sat up and said ""Turn on the light, it's here watching us.","['fear', 'surprise']","fully woke up, sat said ""Turn light, watching us."
"My hands are cramping, my legs ache and I can't find a comfortable position in my chair ( which is broken and is going out the door tomorrow ).","['fear', 'sadness']","hands cramping, legs ache can't find comfortable position chair ( broken going door tomorrow )."
A very similar story happened to my grandmother.,['surprise'],similar story happened grandmother.
One season they were really nasty and management seemed to not care when we brought it to their attention.,"['anger', 'sadness']",season nasty management care brought attention.
"Well, since everyone is giving their lovely stories...",['joy'],"Well, giving lovely stories..."
It was friggin' delicious.,['joy'],friggin' delicious.
The chupacabra legend is pretty big here and in Mexico.,"['fear', 'surprise']",chupacabra legend pretty big Mexico.
Not normal light but a spot of light.,"['fear', 'surprise']",normal light spot light.
"After those few seconds, I waved one hand at it in a friendly manner, it then changed light pattern and hovered away behind my house.","['fear', 'joy', 'surprise']","seconds, waved hand friendly manner, changed light pattern hovered away house."
"`` Mr. Jackson just called me, and he told me to call you, and told me to ask you so he didn't have to call you, and that's why I 'M calling you for him -- '' I broke out giggling and rushed to cover my mouth, stealing an embarrassed glance at all the nurses watching me in complete awe.","['joy', 'surprise']","`` Mr. Jackson called me, told you, told ask you, that's 'M calling -- '' broke giggling rushed cover mouth, stealing embarrassed glance nurses watching complete awe."
A clip board was forced into my hands as I stood lost in a dark abyss unaware of the reality going on around me.,"['fear', 'sadness', 'surprise']",clip board forced hands stood lost dark abyss unaware reality going me.
Ugh I know for sure I'm a do my eyebrows.,['joy'],Ugh know sure I'm eyebrows.
That's when tears streak down my cheeks.,"['fear', 'sadness']",That's tears streak cheeks.
My brain decided to start trying to do the Kempo workout from last night again which is not conducive to sleep.,['fear'],brain decided start trying Kempo workout night conducive sleep.
"When my back hit the far wall, and the shovel against the wall fell on the dirt, I screamed.","['fear', 'sadness', 'surprise']","hit far wall, shovel wall fell dirt, screamed."
"Sometimes, the journey there is just as important.",['joy'],"Sometimes, journey important."
I come downstairs and see grandma at the dining room table.,['joy'],come downstairs grandma dining room table.
"I'm still sick, my nose is sore from blowing it all day, and it's wicked hot in the apartment.","['fear', 'sadness']","I'm sick, nose sore blowing day, wicked hot apartment."
"This operation removed the interlocking tibial nail from within my right tibia, a long titanium rod which had done a marvellous job of holding my leg together after that awful accident but which was now superfluous, and also the prime suspect in my ongoing pain issues.","['fear', 'sadness']","operation removed interlocking tibial nail right tibia, long titanium rod marvellous job holding leg awful accident superfluous, prime suspect ongoing pain issues."
I was writing away.,['joy'],writing away.
"I know in my brain I need to get it back, but I have to find a way to make it real again.",['fear'],"know brain need back, find way real again."
"Signet Ring No. 1: I was about 13-14, stupidly shaking my hand, and it flew off, into the gutter outside Forsbergs ' house on Glover Rd..","['fear', 'sadness', 'surprise']","Signet Ring No. 1: 13-14, stupidly shaking hand, flew off, gutter outside Forsbergs ' house Glover Rd.."
I was pretty disgusted.,"['anger', 'fear']",pretty disgusted.
The top of the mattress comes up a little above my waist!,['joy'],mattress comes little waist!
"But alas the humidity ruined it for us both after only 2 songs > > sigh < < Still I basically had one obvious wet spot the entire shift, which I didn't bother to do anything about other than flash to the entire club from stage by doing the splits on my back about 10 times over the course of the day.","['joy', 'sadness']","alas humidity ruined 2 songs > > sigh < < basically obvious wet spot entire shift, bother flash entire club stage splits 10 times course day."
"Later, the police find the child naked and bleeding on the floor.","['anger', 'fear', 'sadness', 'surprise']","Later, police find child naked bleeding floor."
I did not live in a building with an apartment 3H.,['surprise'],live building apartment 3H.
"But thank you for your offer A sudden tugging at his side made him spin, having to fight the instinct to let his hand fly out.","['anger', 'fear', 'surprise']","thank offer sudden tugging spin, fight instinct let hand fly out."
I grinned looking at the saddened Ceres from the corner of my eye.,['joy'],grinned looking saddened Ceres corner eye.
I accidentally time travelled.,"['fear', 'joy', 'surprise']",accidentally time travelled.
It's not even a conscious thing.,['surprise'],conscious thing.
Nothing was touching it.,"['fear', 'surprise']",touching it.
i need to let what im feeling right now out before the hole in my chest is getting deeper.,"['fear', 'sadness']",need let im feeling right hole chest getting deeper.
"I freaked out and, eyes still closed, went back to bed.","['fear', 'surprise']","freaked and, eyes closed, went bed."
"My eyebrows raise as I smile, ` Ready for the second shot?",['joy'],"eyebrows raise smile, ` Ready second shot?"
"My knuckle still doesn't look good, and it hurts like hell when I make a fist.","['fear', 'sadness']","knuckle look good, hurts like hell fist."
My cheeks burned with fever.,['fear'],cheeks burned fever.
Please feel free to comment any questions,['joy'],feel free comment questions
I held him for a bit when he woke up in recovery and he fell right back asleep in my arms.,['joy'],held bit woke recovery fell right asleep arms.
"Went to my favorite bar, I'd told everyone I was going to be there during the week before and no-one turned up.","['anger', 'sadness', 'surprise']","Went favorite bar, I'd told going week no-one turned up."
I have a friend whose husband died last year.,['sadness'],friend husband died year.
I don't know... messages.,['fear'],know... messages.
My arms shook.,['fear'],arms shook.
So we went to City Island where i was having my nails done.,['joy'],went City Island nails done.
"The only flicks I remember off my head were the bad ones, But I'm sure there were classics mixed in there, too.",['sadness'],"flicks remember head bad ones, I'm sure classics mixed there, too."
"I spent most of the day asleep in bed, and my throat hurts so much, it nearly killed me!","['fear', 'sadness']","spent day asleep bed, throat hurts much, nearly killed me!"
she started hallucinating and thrashing around in the bathroom stall at one point.,"['fear', 'sadness', 'surprise']",started hallucinating thrashing bathroom stall point.
and left my eyes to cry.,['sadness'],left eyes cry.
They did the same thing come Mother's Day but guess what?,"['anger', 'surprise']",thing come Mother's Day guess what?
We walk out to the dance floor and find two reasonably attractive girls and we each choose one to dance with.,['joy'],walk dance floor find reasonably attractive girls choose dance with.
"My shoulder, neck and wrist have started aching all the time.","['fear', 'sadness']","shoulder, neck wrist started aching time."
We were going to blow that record away.,['joy'],going blow record away.
my knee's are the only weight left keeping me up to abroad.,"['fear', 'sadness']",knee's weight left keeping abroad.
"Laughing about it, we went back up the beach to go home, when we heard a huge bang and saw a bright white flash up by where the houses were.","['fear', 'joy', 'surprise']","Laughing it, went beach home, heard huge bang saw bright white flash houses were."
"Hawaiian is my first language, so not too bad considering.",['joy'],"Hawaiian language, bad considering."
"After getting all warm, I went and got my nails done.",['joy'],"getting warm, went got nails done."
"Long story short, we probably saw incoming meteorites with very steep angles of attack.","['fear', 'surprise']","Long story short, probably saw incoming meteorites steep angles attack."
I had to keep my eyes closed for that time.,['fear'],eyes closed time.
"""a woman is going to get an abortion.","['fear', 'sadness', 'surprise']","""a woman going abortion."
"My head was spinning as the smoke I gladly inhaled made its way to my lungs and on its way out, the rings easily dissipating into the cold air made me wonder about him for the tenth time on that night.",['fear'],"head spinning smoke gladly inhaled way lungs way out, rings easily dissipating cold air wonder tenth time night."
It won't close.,"['anger', 'fear']",close.
"The tears are prickling behind my eyes as I pull my jeans on and race downstairs.I find a pen and paper in the kitchen and in a hasty scrawl, I write out, `` Like I said, I can't do this.Sorry.See you at work.","['fear', 'sadness']","tears prickling eyes pull jeans race downstairs.I find pen paper kitchen hasty scrawl, write out, `` Like said, can't this.Sorry.See work."
It's choking me and burning my eyes.,"['fear', 'sadness']",choking burning eyes.
"This was my rest week and my legs, and everything else were closed for the day.",['joy'],"rest week legs, closed day."
"Pooi Kit was driving recklessly and almost caused a major fatal accident, I can still remember the tailgate lights of the truck passing in front of my eyes and screeching sounds of the brakes.","['anger', 'fear', 'surprise']","Pooi Kit driving recklessly caused major fatal accident, remember tailgate lights truck passing eyes screeching sounds brakes."
We were powerless against what happened that night.,"['fear', 'sadness', 'surprise']",powerless happened night.
He senses my fear he feels some power he brings up his had I cry and I cower He's out of control I let out a screech he strikes again like lightening tears stream down my cheek there's a flash in his eyes what I beg him to quit bruised swollen cheeks a fracture in my hip.,"['anger', 'fear', 'sadness']",senses fear feels power brings cry cower He's control let screech strikes like lightening tears stream cheek there's flash eyes beg quit bruised swollen cheeks fracture hip.
My finger is an asshole.,['anger'],finger asshole.
Levi and I arrived in an eye-capturing city that really blew me off my feet.,"['joy', 'surprise']",Levi arrived eye-capturing city blew feet.
"Of course, in the end I had a better essay to hand in ( can't remember how this impacted the grade ) but I didn't feel like the work I was turning in was mine.So when I'm editing Jenn's work a shiver runs down my spine that my father is also standing above my shoulder editing my edits.",['fear'],"course, end better essay hand ( can't remember impacted grade ) feel like work turning mine.So I'm editing Jenn's work shiver runs spine father standing shoulder editing edits."
"So, with my sporting boyfriend, we went for a few hours of under the sun getting splash in my eyes with water.",['joy'],"So, sporting boyfriend, went hours sun getting splash eyes water."
It never came up.,['surprise'],came up.
I shut my eyes and let the tears take over.,['sadness'],shut eyes let tears over.
"When it was my turn to play, I was mortified to find out I had to move my hand up and down in a sawing motion.",['fear'],"turn play, mortified find hand sawing motion."
"But, to his dismay, the toilet won't flush.","['anger', 'fear', 'surprise']","But, dismay, toilet flush."
( Notice my toes have nail polish on-that was New Year's resolution # 21 <CUR> ) Then Esm decorated the body tracing.,['joy'],( Notice toes nail polish on-that New Year's resolution # 21 $ ) Esm decorated body tracing.
"Edward, I can't put my arms down.",['fear'],"Edward, can't arms down."
"Overall it was a pleasant night, with three standout incidents.",['joy'],"Overall pleasant night, standout incidents."
"i just cracked my head into a glass door.A delivery person, instead of calling me and saying `` I've got a package. ''","['anger', 'fear']","cracked head glass door.A delivery person, instead calling saying `` I've got package. ''"
I remember bringing it to my kindergarten class once to watch on a movie day.,['joy'],remember bringing kindergarten class watch movie day.
When I was little I distinctly remember being able to see with my eyes closed.,"['fear', 'joy', 'surprise']",little distinctly remember able eyes closed.
"However, deep inside my heart, I really want to go back to my hometown.",['sadness'],"However, deep inside heart, want hometown."
I still can't figure it out.,"['fear', 'sadness', 'surprise']",can't figure out.
"this probably doesn't actually make much sense at the moment, but my head hurts.",['fear'],"probably actually sense moment, head hurts."
I know you run a successful store and I really admire that.,['joy'],know run successful store admire that.
This was right before sunset when we got in bed and I instantly fell asleep.,['joy'],right sunset got bed instantly fell asleep.
I yell but I can't help but feel a sharp stave in my chest.,"['fear', 'sadness']",yell can't help feel sharp stave chest.
"And here in Edinburgh, through this journey of mine, it has been right at my side, in my hand.",['joy'],"Edinburgh, journey mine, right side, hand."
"Got ready for junior year to end June School ended, I dyed my hair purple lol... I sprained my ankle on the way to the riverfront festival.","['fear', 'sadness']","Got ready junior year end June School ended, dyed hair purple lol... sprained ankle way riverfront festival."
Probably going to get buried.,"['fear', 'sadness']",Probably going buried.
A nice way to get some items off my chest.,['joy'],nice way items chest.
"Amber, on the other hand, was missing a boyfriend.",['sadness'],"Amber, hand, missing boyfriend."
"I spent all day at home, sick.","['fear', 'sadness']","spent day home, sick."
still cant get my head around the fact that this time 2 weeks ill be home.,['fear'],cant head fact time 2 weeks ill home.
I pull my arm away and purchase a ticket for a mystery movie and enter through the back entrance only to realize that the whole theater was crowded.,"['fear', 'surprise']",pull arm away purchase ticket mystery movie enter entrance realize theater crowded.
Got caught with a shitload of mary jane.,"['anger', 'fear', 'sadness', 'surprise']",Got caught shitload mary jane.
I had to relax my muscles and clear my mind in order to do that.,['fear'],relax muscles clear mind order that.
"Prior to, we got some humongous popsicles which turned my tongue an amazing shade of blue, and we visited the children's A&S display.",['joy'],"Prior to, got humongous popsicles turned tongue amazing shade blue, visited children's A&S display."
"`` I zip up the tote back quickly, throw it onto my shoulder and grab up the other, larger bag.",['joy'],"`` zip tote quickly, throw shoulder grab other, larger bag."
"I ask her to tell me hers first, and she starts telling me how she dreamed the Sears Tower was falling down...","['fear', 'surprise']","ask tell first, starts telling dreamed Sears Tower falling down..."
He had a large going away party.,['joy'],large going away party.
"`` Yeah, im good now, my back has stopped bleeding <CUR>.",['fear'],"`` Yeah, im good now, stopped bleeding $."
"My mother announced our names into the intercom; I folded my hands prayer-like: calm down, calm down, calm down.",['fear'],"mother announced names intercom; folded hands prayer-like: calm down, calm down, calm down."
Eight inches here Nine inches there My feet in the snow.,['fear'],inches inches feet snow.
Just going in circles.,"['anger', 'fear', 'sadness']",going circles.
Thoughts of the movie Phantasm were swirling through my head.,['fear'],Thoughts movie Phantasm swirling head.
After reading the top comment about the person's mom and her friend... maybe she isn't telling me something.,"['fear', 'surprise']",reading comment person's mom friend... maybe telling something.
"Standing at the edge of my heart, I'm gazing, I'm listening Like seeing an ocean in a cold winter night Such a fear, I'm falling, breaking into pieces.","['fear', 'sadness']","Standing edge heart, I'm gazing, I'm listening Like seeing ocean cold winter night fear, I'm falling, breaking pieces."
I liked spending all my nights at home hula hooping and listening to pop music and laughing at jokes inside my head.,['joy'],liked spending nights home hula hooping listening pop music laughing jokes inside head.
"I stumbled out of bed, probably 4 in a morning in a most-asleep daze and went to the bathroom.",['fear'],"stumbled bed, probably 4 morning most-asleep daze went bathroom."
"Shivering caused me to tense up, which caused my hips to keep cramping in charlie horse fashion.","['fear', 'sadness']","Shivering caused tense up, caused hips cramping charlie horse fashion."
Her excuse to being late?,"['anger', 'surprise']",excuse late?
"It was a sad, strange experience.","['fear', 'sadness', 'surprise']","sad, strange experience."
"So, again, I tried to eat my lunch, my stomach in knots, an unseen hand gripping my heart.","['fear', 'sadness']","So, again, tried eat lunch, stomach knots, unseen hand gripping heart."
Like I found a way to escape gravity and moved about my bedroom as though I was on the ISS or something; thrilling at my new found ability.,"['joy', 'surprise']",Like found way escape gravity moved bedroom ISS something; thrilling new found ability.
40 minutes of genuinely thinking it's quite possible I may never leave those woods.,"['fear', 'sadness']",40 minutes genuinely thinking possible leave woods.
My blood turned to icewater in my veins.,['fear'],blood turned icewater veins.
My arms start getting numb and achy and no way to lie makes them stop.,"['fear', 'sadness']",arms start getting numb achy way lie makes stop.
After an evening there we were driving back because we had no money for a hotel.,"['fear', 'sadness']",evening driving money hotel.
The bus is gone.,"['fear', 'sadness', 'surprise']",bus gone.
And they probably knew exactly what your dad saw.,"['fear', 'surprise']",probably knew exactly dad saw.
I hope your baby fucking dies.,['anger'],hope baby fucking dies.
"My eyes were open, but I couldn't see in any colors.","['fear', 'sadness']","eyes open, colors."
"But I get beyond that tired stage, and can't close my eyes later.","['fear', 'sadness']","tired stage, can't close eyes later."
"As I turned to walk out of the alley, a pair of brass knuckles crushed into the side of my face.","['anger', 'fear', 'surprise']","turned walk alley, pair brass knuckles crushed face."
"One day, I ask Jane for her cell number.","['fear', 'joy']","day, ask Jane cell number."
Lots of profanity and screaming.,"['anger', 'fear']",Lots profanity screaming.
His front end was completely smashed in.,"['fear', 'sadness', 'surprise']",end completely smashed in.
", my stomach turned into a pile of dogshit and I nearly puked.",['fear'],", stomach turned pile dogshit nearly puked."
At times I was actually having difficulty breathing because the water was in my nose.,['fear'],times actually difficulty breathing water nose.
"It worked, I was scared shitless for the rest of the visit.",['fear'],"worked, scared shitless rest visit."
So my leg is shaking at a million miles an hour and I turn into the target parking lot as she sort of continues to follow me.,['fear'],leg shaking million miles hour turn target parking lot sort continues follow me.
A highly intoxicated roommate and a black girl going at it.,"['anger', 'fear', 'surprise']",highly intoxicated roommate black girl going it.
"blah I want my head to stop hurting, and my eyes to start tearing up but I do nt see any of these things happening soon.","['fear', 'sadness']","blah want head stop hurting, eyes start tearing nt things happening soon."
was always the tank... i ended up spending a month on my back before unemployment kicked in.,"['fear', 'sadness']",tank... ended spending month unemployment kicked in.
My hands were very cold.,['fear'],hands cold.
and then i accidently dropped the tag because my hand was shaking so much.,['fear'],accidently dropped tag hand shaking much.
i've got the tug happening in my chest.,['fear'],i've got tug happening chest.
"checked weather report, checked space station schedule, etc etc... nothing that made sense.","['fear', 'sadness', 'surprise']","checked weather report, checked space station schedule, etc etc... sense."
Prior to the opening of the hunting season in the autumn (when the whole hunting collective/club goes to hunt together) we go hunting alone.,['fear'],Prior opening hunting season autumn (when hunting collective/club goes hunt together) hunting alone.
"The dog barked more, whimpered and whined.","['fear', 'sadness']","dog barked more, whimpered whined."
"So they decided to throw me a ""90s McDonalds"" Birthday party.","['joy', 'surprise']","decided throw ""90s McDonalds"" Birthday party."
"It never freaked me out, because it happened enough as i was small and I got used to it.",['fear'],"freaked out, happened small got it."
I've never had my cheeks hurt so much from laughing and / or smiling.,['joy'],I've cheeks hurt laughing / smiling.
"Police got called, guy gets taken away.","['fear', 'surprise']","Police got called, guy gets taken away."
"`` I had to think about that for a second, and do the math in my head.",['fear'],"`` think second, math head."
"She hit Katahdin, and celebrated.","['anger', 'joy']","hit Katahdin, celebrated."
"I know this will get buried, but whatever.",['sadness'],"know buried, whatever."
He also told me I would be his wife one day.,"['joy', 'surprise']",told wife day.
We shared about a minute of spaz-dancing and off-key singing before we went our seperate ways.,['joy'],shared minute spaz-dancing off-key singing went seperate ways.
I go to her pictures and see the image of what was in my head right there in front of me...,"['joy', 'surprise']",pictures image head right me...
I struggle to make out the images my eyes begin to pick up.,['fear'],struggle images eyes begin pick up.
"and i seriously felt tat my chest HURTS... for the next few months, i really need to give up: 1 ) SHOPPING2 ) MANICURE & PEDICURE3 ) KTV SESSION4 ) CLUBBINGCOS I SIMPLY DUN HAVE BUDGET FOR THE ABOVE!!","['fear', 'sadness']","seriously felt tat chest HURTS... months, need up: 1 ) SHOPPING2 ) MANICURE & PEDICURE3 ) KTV SESSION4 ) CLUBBINGCOS SIMPLY DUN BUDGET ABOVE!!"
I closed my eyes and felt the elements around me.,['joy'],closed eyes felt elements me.
She finally decided to go to the doctor.,"['fear', 'joy']",finally decided doctor.
"The assault ended abruptly, the pistol dropped from my hands and hit the soggy grass with a heavy thump.","['anger', 'fear', 'sadness', 'surprise']","assault ended abruptly, pistol dropped hands hit soggy grass heavy thump."
I felt like Batman that day.,['joy'],felt like Batman day.
i closed my eyes and heard something hit the ground.,"['fear', 'surprise']",closed eyes heard hit ground.
Right behind the log.,['fear'],Right log.
"Arms back, chin down.",['fear'],"Arms back, chin down."
"I was sitting in the van trying to stay warm, and going over the following day's logistics in my head.",['fear'],"sitting van trying stay warm, going following day's logistics head."
No one else in the class did.,"['sadness', 'surprise']",class did.
"Fast forward-I was 21, and living in my first apartment.",['joy'],"Fast forward-I 21, living apartment."
My Heart was just... beautiful.,['joy'],Heart just... beautiful.
Decide to be roommates.,['joy'],Decide roommates.
and my hair was straight and nice already so i pull a sweater over my head and jump into some jeans run to the bathroom brush my teeth while combing my hair with my fingers grab my purse and im out the door with sunglasses on cuz i got no makeup on... so i get to the bus stop and realize... I forgot to put out the bottles and a check for the waterman who comes at 9 AM!,['fear'],hair straight nice pull sweater head jump jeans run bathroom brush teeth combing hair fingers grab purse im door sunglasses cuz got makeup on... bus stop realize... forgot bottles check waterman comes 9 AM!
Then a few days later i told her Jenny wanted me to come to the basement to play with her.,"['fear', 'surprise']",days later told Jenny wanted come basement play her.
Or like when the one of the 4-year-olds I substitute taught at church asked why I was wearing a belt around my waist.,['surprise'],like 4-year-olds substitute taught church asked wearing belt waist.
The FUNNIEST Thing I've Seen In AGES Last Chance to See on TVO and ended up with tears streaming down my cheeks because I was laughing so hard.,['joy'],FUNNIEST Thing I've Seen AGES Chance TVO ended tears streaming cheeks laughing hard.
"Amanda and I carried the washer up with no problems but as we sat it down in the street, my back gave out.","['fear', 'sadness']","Amanda carried washer problems sat street, gave out."
"My hand was indeed gone, but new fingers, stubby and underformed, were sprouting from the stub.","['fear', 'sadness', 'surprise']","hand gone, new fingers, stubby underformed, sprouting stub."
"A strangely calming breeze crosses my face and shoulders, mysteriously skipping right over my legs.",['joy'],"strangely calming breeze crosses face shoulders, mysteriously skipping right legs."
I'll never forget the bitch-death-glare she shot me.,"['anger', 'fear']",I'll forget bitch-death-glare shot me.
Today I must do the dreaded studying: ( Blarg.I did a bit last night ( some review ) and it is amazing how quickly this shit leaves my brain after taking 1.5 days off from it.,"['anger', 'fear', 'sadness']",Today dreaded studying: ( Blarg.I bit night ( review ) amazing quickly shit leaves brain taking 1.5 days it.
""" I figure she probably spent all night hiding in a corner.","['fear', 'sadness']",""" figure probably spent night hiding corner."
I could see them all.,"['joy', 'surprise']",all.
I love telling this story.,['joy'],love telling story.
"determined well, i've been going to the gym a little over three weeks now, and i've lost eight pounds, and roughly twelve inches total-about three from my waist, two and a half from my hips, a half inch from each thigh, and four total from my... um... upper torso area... anyway, it feels awesome.",['joy'],"determined well, i've going gym little weeks now, i've lost pounds, roughly inches total-about waist, half hips, half inch thigh, total my... um... upper torso area... anyway, feels awesome."
"He looks over and I realise how obvious I am with a huge grin on my face, looking suspicious.","['fear', 'joy']","looks realise obvious huge grin face, looking suspicious."
"My heart still flutters when I think about it, it was just amazing.",['joy'],"heart flutters think it, amazing."
"Not too scary, right?","['fear', 'joy', 'surprise']","scary, right?"
Pain-I have injured my knee somehow.,"['fear', 'sadness']",Pain-I injured knee somehow.
"My eyes scanned quickly into every room, every corner as I passed by <CUR> and more than once my fist met the peeling paint of a closed door.","['anger', 'fear']","eyes scanned quickly room, corner passed $ fist met peeling paint closed door."
"Not the most unnerving feeling, but the most prominent event in my mind is as follows:","['fear', 'surprise']","unnerving feeling, prominent event mind follows:"
He was convinced that his grandpa was still alive or whatever.,"['fear', 'sadness', 'surprise']",convinced grandpa alive whatever.
"But, it fits my head.",['joy'],"But, fits head."
"It constantly snarled in the fine hairs on the back of my neck and left red marks on my temples when it snapped, sending the steel tips of the rubber band into my face.","['anger', 'fear', 'surprise']","constantly snarled fine hairs neck left red marks temples snapped, sending steel tips rubber band face."
"All I know, is I need to get my head on straight before the tears begin to slowly pool over the corner of my eye once again.","['fear', 'sadness']","know, need head straight tears begin slowly pool corner eye again."
The tree starts shrinking.,"['fear', 'surprise']",tree starts shrinking.
Needless to say I was kind of scared.,['fear'],Needless kind scared.
When she woke up the next morning she decided to figure out what the hell had happened.,"['fear', 'surprise']",woke morning decided figure hell happened.
My horror unfurls as it whispers my name <CUR> It eyeballs me and holds my gaze; dread rips through my heart as it screams out.,['fear'],horror unfurls whispers $ eyeballs holds gaze; dread rips heart screams out.
"During my first season, I was playing a game on my birthday.",['joy'],"season, playing game birthday."
My parents were confused.,"['fear', 'sadness', 'surprise']",parents confused.
A song started to loop inside my head.,"['fear', 'joy']",song started loop inside head.
"Less hours, means they are making less money.","['fear', 'sadness']","hours, means making money."
Yea I'm with you there man.,['joy'],Yea I'm man.
It was freaking awesome,['joy'],freaking awesome
"I even tried to sleep sitting up for a bit, that ended when I nearly gave myself whiplash when my head dropped.",['fear'],"tried sleep sitting bit, ended nearly gave whiplash head dropped."
i can just imagine how many bugs have been snacking on my legs as ive sat here for the last couple hours.,['fear'],imagine bugs snacking legs ive sat couple hours.
Almost at the instant that the first drop of sweat popped out on my head I had the weirdest experience.,"['fear', 'surprise']",instant drop sweat popped head weirdest experience.
The later guests were all drunk - really drunk - but they were all close friends of me.,['joy'],later guests drunk - drunk - close friends me.
"After we were done, I could barely even move my fingers and I think I am going to be sick in a few days.","['fear', 'sadness']","done, barely fingers think going sick days."
Dove brought me a nice glass of ice water and the bottle of the pain pills and an ice pack for my hand.,['fear'],Dove brought nice glass ice water bottle pain pills ice pack hand.
"Originally Posted September 18th, 2007 I walked down the driveway, pushing back the stinging pain that kept trying to force a few tears out of my eyes.","['fear', 'sadness']","Originally Posted September 18th, 2007 walked driveway, pushing stinging pain kept trying force tears eyes."
The scream quickly turned into full-blown four-alarm sobbing as I flailed evasively to rid myself of this alien being bearing a dark and nightmarish message.,"['fear', 'sadness', 'surprise']",scream quickly turned full-blown four-alarm sobbing flailed evasively rid alien bearing dark nightmarish message.
In retrospect this implied extreme circumstances.,"['fear', 'surprise']",retrospect implied extreme circumstances.
It was hairless and covered in gray skin.,"['fear', 'surprise']",hairless covered gray skin.
it got so bad that in the car on the way home i had to put the air on full blast and put my head down in the car to try to keep it cool so it didn't ich so much.,"['fear', 'sadness']",got bad car way home air blast head car try cool ich much.
"I sharted undigested bubble gum, you guys.","['fear', 'joy', 'surprise']","sharted undigested bubble gum, guys."
Some children came out and cheered me on offering water and slapping my back.,['joy'],children came cheered offering water slapping back.
"There was nothing else of mine in her belongings, and I stood up and dusted my hands off.",['joy'],"belongings, stood dusted hands off."
"""I don't know I don't know I don't know...""","['fear', 'sadness']","""I know know know..."""
took the skin off my knuckles an my hand bleeding like hell but i felt kinda better.,"['fear', 'sadness']",took skin knuckles hand bleeding like hell felt kinda better.
"Apparently I like to impale my face into my pillow and curl my hands into the blankets so I can tug them over my neck, up to my mouth-which was closed.","['fear', 'sadness']","Apparently like impale face pillow curl hands blankets tug neck, mouth-which closed."
Never saw them again...,['sadness'],saw again...
I farted and a little nugget fell out onto the floor.,"['joy', 'surprise']",farted little nugget fell floor.
"I wrapped a Tshirt around my head for warmth, and settled in for a cold night.","['fear', 'sadness']","wrapped Tshirt head warmth, settled cold night."
One time in high school my friends and I had a dance party in someones basement.,['joy'],time high school friends dance party someones basement.
"I managed to shoehorn myself into the seat but my knees were jammed under the dash, I could barely use the pedals, I couldn't get any proper lock on the steering wheel, my head was poking out of the rollcage and I had no idea of what the rev limits or gears were.",['fear'],"managed shoehorn seat knees jammed dash, barely use pedals, proper lock steering wheel, head poking rollcage idea rev limits gears were."
"I know it is true, for my own glasses have been gone for over 16 years, and I know what TO do and what NOT TO DO in order to have my eyesight relax, my vision stay sharp, and my eyes happy.",['joy'],"know true, glasses gone 16 years, know order eyesight relax, vision stay sharp, eyes happy."
"As stiff as a board, I didn't move an inch except to dart my eyes to my sleeping sister in the bed ten feet away.",['fear'],"stiff board, inch dart eyes sleeping sister bed feet away."
Second story (equally creepy):,"['fear', 'surprise']",Second story (equally creepy):
